代號,收費模式,證據句,備註,申報日,accession
PANW,混合,"In addition to the subscriptions purchased with these firewalls, customers may also purchase other subscriptions on a per-user, per-endpoint, or capacity-based basis.",席位與用量並列(防火牆訂閱),2025-08-29,000132756725000027
CRWD,用量或交易,Our subscriptions are generally priced on a per-endpoint and per-module basis.,按端點數與模組數,2026-03-05,000153552726000010
FTNT,混合,"We experienced product revenue growth across our hardware products and software licensing, which mainly benefited from growth in secure networking hardware products and term licenses.",硬件、授權與訂閱並行,2026-02-25,000126203926000007
MSFT,混合,"Dynamics revenue is driven by the number of users licensed and applications consumed, expansion of average revenue per user, and the continued shift to Dynamics 365, a unified set of cloud-based intelligent business applications, including our low code development platforms, such as Power Apps and Power Automate.",按授權用戶數與消耗,2026-07-29,000119312526323660
PLTR,混合,"There is no guarantee that our existing or proposed business strategies, including subscription-based or usage-based pricing structures, will achieve broad adoption by current or prospective customers or be appropriately structured to attract and retain other potential customers across the customer base.",訂閱與用量兩種並存,2026-02-17,000132165526000011
CSCO,混合,"These offerings consist of software, including perpetual licenses and subscription arrangements, as well as hardware.",授權、訂閱與硬件,2025-09-03,000085887725000111
CRM,訂閱(未標明計量),The number of paying subscriptions at each of our customers ranges from one to hundreds of thousands.,"原文只說訂閱,未講按什麼計",2026-03-02,000110852426000060
ORCL,用量或交易,"Oracle Autonomous AI Database is designed to enable on-demand, automatic scaling of database resources combined with consumption-based pricing in order to help organizations lower costs by paying only for resources used.",按資源消耗,2026-06-22,000119312526277521
AVGO,混合,"Revenue from Contracts with Customers Reclassifications to Consolidated Statements of Operations In fiscal year 2025, we included upfront license revenue of $ 7,800 million within products revenue in our consolidated statements of operations.",硬件(半導體)加授權,2025-12-18,000173016825000121
NET,混合,Enterprise subscription plan agreements for our contracted customers generally include a base subscription and a smaller portion based on usage or per seat.,底價訂閱加席位或用量,2023-02-24,000147733323000017
NOW,混合,"In addition to subscription offerings, certain AI and data solutions include a consumption-based pricing component that governs when customer usage exceeds the fixed number of service credits available under the customer’s subscription agreement.","訂閱為主,超額部分按消耗",2026-01-29,000137371526000007
OKTA,訂閱(未標明計量),"Our revenue is relatively predictable as a result of our subscription-based business model, which constituted approximately 97% of total revenue for fiscal 2023.",未講計量,2023-03-03,000166013423000013
DDOG,用量或交易,"Usage is measured on a per-unit basis, with the unit of measure differing for each product, based on the unit that, in working with customers and design partners, best indicates the value we deliver, In the case of subscriptions for committed contractual amounts of usage, revenue is recognized ratably over the term of the subscription agreement, generally beginning on the date that our platform is made available to a",按自訂單位用量,2026-02-18,000162828026008819
ZS,席位,Our subscription pricing is primarily calculated on a per-user basis.,按用戶,2022-09-15,000171368322000081
ADBE,混合,Arrangements with some of our enterprise customers with non-cancellable and non-refundable committed funds provide options to either renew monthly on-premise term-based licenses or use some or all funds to purchase other Adobe products or services.,訂閱與定期授權並存,2026-01-15,000079634326000003
RBRK,混合,"2025 Form 10-K 17 Table of Contents Furthermore, we have historically sold our products to customers as perpetual licenses with associated maintenance contracts or as subscription term-based licenses with associated support, and with respect to the latter, we recognized a portion of the revenue upfront at the time we transferred control of the subscription term-based license to the customer and deferred the remainder",永久授權轉訂閱中,2025-03-20,0001943896-25-000012
FFIV,混合,"We sell packaged software in perpetual, subscription, and usage-based consumption models.",三種模式並列,2025-11-25,000104869525000157
INTU,查不到,,10-K 全文掃不到任何收費語,2025-09-03,000089687825000035
GEN,用量或交易,"At the point of Instacash Advance origination, the customer requests an available Instacash Advance amount, decides whether to incur an optional Turbo Fee and leave a tip, confirms the scheduled repayment date and authorizes automatic debit repayment.",按每筆墊款收費,2026-05-21,000084939926000017
DT,用量或交易,"Under the DPS licensing model, a customer makes a minimum annual spend commitment at the platform level and then consumes that commitment based on actual usage and a straightforward rate card.",承諾額內按實際用量,2025-05-22,0001773383-25-000065
CDNS,混合,"In addition, for certain IP license agreements, we collect royalties as our customers ship their product that includes our IP to their customers.",定期授權加出貨抽成,2026-02-19,000081367226000016
APP,其他,We may experience heightened levels of variability in the pricing of advertising both in terms of user acquisition and as it relates to our Software Platform and Apps.,"廣告競價,非軟件收費",2023-02-28,000175100823000006
SNPS,混合,"The majority of licenses to our EDA products and Ansys semiconductor products are network licenses that allow a number of individual users to access the software on a defined network, including, in some cases, regional or global networks.",授權加按使用人數,2025-12-22,000088324125000028
AKAM,用量或交易,It excludes estimates of variable consideration such as usage-based contracts with no committed contract as well as anticipated renewed contracts.,按用量,2026-02-20,000108622226000022
ANET,查不到,,"10-K 只講運費入收入,掃不到收費模式語",2026-02-17,000159653226000013
CHKP,查不到,,倉內無 10-K 全文(外國私人發行人交 20-F),,
NTAP,混合,"Our public cloud services are transferred either 1) for subscription arrangements, ratably over the subscription period or 2) for consumption-based arrangements, as actually consumed by the customer.",訂閱加消費制,2026-06-05,000119312526259683
FROG,混合,"For SaaS subscriptions, usage-based fees in excess of the minimum usage commitment constitute variable consideration and are included in the transaction price.",底價訂閱加超額用量,2025-02-14,0000950170-25-021340
LDOS,其他,"The price for a FFP contract is often determined through competitive bidding by multiple contractors vying for award of the contract, but the price may also be determined through price negotiations with the customer.","政府服務合約計價,非軟件收費",2026-02-17,000133692026000030
ACN,混合,"We have many types of contracts, including time-and-materials contracts, fixed-price contracts, fee-per-transaction contracts and contracts with multiple fee types.",顧問合約按期、按件、按成交,2025-10-10,000146737325000217
HO.FP,查不到,,倉內無 10-K 全文(法國申報),,
ESTC,用量或交易,"Our limited history with consumption-based arrangements for our Elastic Cloud offerings is not adequate to enable us to accurately predict the long-term rate of customer adoption or renewal, or the impact those arrangements will have on our near-term or long-term revenue and operating results.",按消耗,2025-06-10,0001707753-25-000021
GOOGL,用量或交易,Cost-per-click is defined as click-driven revenues divided by our total number of paid clicks and represents the average amount we charge advertisers for each engagement by users.,按點擊與曝光收費,2023-02-03,000165204423000016
INFY,查不到,,倉內無 10-K 全文(外國私人發行人交 20-F),,
MSTR,混合,"(iii) Sales and usage-based royalties – Certain product license arrangements include sales or usage-based royalties, covering both product license and product support.",授權加按銷量抽成,2023-02-16,000156459023002012
ADSK,混合,"In recent years, the industry has undergone a transition from developing and selling perpetual licenses and on-premises products to subscriptions and cloud-enabled technologies.",永久授權轉訂閱,2026-03-03,000076939726000015
IBM,查不到,,"快取的 10-K 全文為 XBRL 標籤,掃不到自然語句",2026-02-24,000005114326000010
S,用量或交易,"We generally price our subscriptions and modules on a per agent basis, and each agent generally corresponds with an endpoint, server, virtual machine, or container.",按 agent(對應端點),2026-03-19,000158370826000020
ROP,用量或交易,"(ii) reoccurring revenue comprised of transactional and volume-based fees facilitated through our software; (iii) non-recurring revenue comprised of multi-year term and perpetual software licenses, professional services associated with software products and hardware sold with our software licenses; and (iv) product revenue.",按件與按量,2026-02-24,000088283526000009
WDAY,席位,"Furthermore, our subscription-based model is largely based on the size of our customers’ employee headcount.",按員工人數,2026-03-06,000132781126000014
BAH,其他,"We generate revenue through various fixed price and multi-year government contracts, our primary customer being the U.S.","政府服務合約計價,非軟件收費",2025-05-23,0001443646-25-000076
TTWO,其他,Cultural differences may also require us to modify the content of our products or the method by which we charge our customers.,"遊戲銷售與內購,非軟件訂閱",2023-05-26,000162828023019851
QLYS,查不到,,10-K 全文掃不到任何收費語,2023-02-23,000143774923004384
VRNS,混合,Services Maintenance and Support of Subscription and Perpetual Licenses Maintenance and support associated with a term license subscription is included in the Term license subscriptions revenue line of the statement of operations.,定期授權加訂閱,2025-02-06,0001628280-25-004187
CVLT,查不到,,"10-K 只講按件付給第三方的專利費,未講自己怎樣收費",2025-05-05,0001169561-25-000034
BB,混合,"The disclosure includes estimates of variable consideration, except when the variable consideration is a sales-based or usage-based royalty promised in exchange for a license of intellectual property.",授權加抽成,2025-04-02,0001070235-25-000068
TEAM,混合,"Data Center offerings are on-premises term license agreements for the Company’s Data Center products, which are software licensed for a specified period, and include support and maintenance services that are bundled with the license for the term of the license period.",雲訂閱加數據中心授權,2025-08-15,0001650372-25-000036
4704.JP,查不到,,倉內無 10-K 全文(日本申報),,
SAIC,其他,"Contract terms may include variable consideration, such as reimbursable costs, award and incentive fees, usage-based fees, service-level penalties, performance bonuses, or other provisions that can either increase or decrease the transaction price.",政府服務合約計價,2025-03-17,0001571123-25-000022
ZM,訂閱(未標明計量),"Our business is subscription based, and customers are not obligated to, and may choose not to, renew their subscriptions after their existing subscriptions expire.","原文只說訂閱,未講計量",2025-02-28,0001585521-25-000042
OTEX.CN,混合,"In addition, increased competition and transitioning from perpetual license sales to subscription-based business model could put significant pricing pressures on our products, which could negatively impact our margins and profitability.","永久授權轉訂閱(同一家公司,證據取 OTEX 的 10-K)",2025-08-07,0001002638-25-000053
FICO,用量或交易,"The expected contract value equals the fixed amount — including guaranteed minimums, if any — stated in the contract, plus estimates of future usage-based fees.",按用量(評分次數),2025-11-07,000081454725000030
