代號,公司,敘事適用度,證據等級,急性期相對大市低點%,全期相對大市低點%,至今相對大市%,①候選,衝擊時200日線,理由
MNDY,monday.com,高度適用,中,-51.2,-59.0,-48.4,—,線下,"公司以「超過 10 名用戶的客戶」作核心留存披露即按座位(間接證據),20-F 自稱最大優勢是開放模組化、轉換成本最低"
ASAN,Asana,高度適用,高,-48.3,-58.9,-38.8,—,線下,"10-Q 自認 substantially all of our revenue through seat-based licenses,工作管理無監管無多方網絡、資料可匯出"
PD,PagerDuty,高度適用,高,-48.1,-52.6,-1.9,—,線下,"10-K 明言核心 Incident Management 按 per-user basis,功能邊界窄、無牌照無多方網絡,界線前 NDR 已由 107% 跌至 100%"
HUBS,HubSpot,高度適用,高,-44.1,-57.3,-42.3,—,線下,"公司自稱 seats-based、增收靠加用戶,客戶為中小企且合約多為一年或以下,10-K 自認 AI 可令產品 obsolete"
PATH,UiPath,高度適用,中,-42.2,-48.7,-26.6,—,線下,"收入掛已續約授權數量,而產品(讓軟件模仿人手動作)正是通用代理直接覆蓋那一塊;授權單位形態未逐字核到"
FRSH,Freshworks,高度適用,中,-42.1,-42.1,-9.7,—,線下,"分級訂閱,客服座位正是代理最先接管那批工作;計價單位(按 agent 抑或按 resolution)未能核,方向已由申報確立"
GTLB,GitLab,高度適用,高,-31.4,-44.4,19.4,—,線下,"賣的正是開發者席位(10-K 提 decrease the number of seats),而產品開源可自架、公司自認免費層是付費的替代"
CXM,Sprinklr,高度適用,中,-30.0,-39.9,-34.1,—,線下,"Q3 易替代、Q2 是流程工具,Q1 混合而按人頭那半正是聯絡中心坐席;座位收入佔比未能核"
DOMO,Domo,部分適用,中,-55.0,-76.4,-56.5,—,線下,"已轉用量制不按座位,但屬展示型 BI(裁決乙:代理直接答到問題就無人開儀表板),留存率連跌三年"
TEAM,Atlassian,部分適用,高,-52.1,-60.2,8.8,—,線下,"10-K 明文按使用者計價,但三十萬客戶、企業級遷移成本高,自建替代不算易"
BRZE,Braze,部分適用,中,-46.8,-46.8,-9.4,—,線下,"10-K 明文按觸及消費者人數加訊息量計價,不按人頭(通過裁決乙);但無牌照、無多方網絡,Q3 過不到難替代"
BL,BlackLine,部分適用,中,-42.8,-59.0,-52.7,—,線下,"存量按座位且用戶數九個月淨減 3%,但對賬有 SOX 審計軌跡與三十個 ERP 整合,不符易替代;價格另含 SAP 收購預期"
WDAY,Workday,部分適用,高,-36.7,-49.5,-19.1,—,線下,"10-K 自認訂閱很大程度按客戶員工人數定價,傳導管道全開;但受監管的 HR/財務正本與多年期合約令自建不可行"
CRM,Salesforce,部分適用,高,-30.0,-46.0,-12.9,—,線下,"按付費訂閱數計價,但單一真相來源加 RPO 595 億令客戶難整套走人——擋得住流失,擋不住席位壓縮(依裁決甲由大致不適用改正)"
NOW,ServiceNow,部分適用,中,-29.2,-43.0,-15.1,—,線下,"訂閱收入 88.5% 明文按用戶計價,但合約不可撤銷、履約義務 282 億,替代只在續約反映(Q3/Q4 證據取自 2026-01-28 申報,即敘事開始後第 16 日,故降一級)"
OKTA,Okta,部分適用,高,-24.3,-31.6,61.7,—,線下,"10-K 自述為 system of record、七千個整合,但 Q1 是明確 per-user——依裁決甲由大致不適用改正"
RNG,RingCentral,部分適用,中,-15.2,-15.2,115.9,—,線下,"按用戶計價、部分合約短至一個月,但三十州 CLEC 認證加 E-911 與號碼攜出是代理自建不了的牆"
ZM,Zoom Communications,部分適用,高,-13.6,-15.1,0.4,—,線上,"按席位計費(公司自寫 higher seat count downsells 的傳導鏈),但即時媒體網絡、硬件生態與電訊監管令自建不成立"
INTU,Intuit,大致不適用,高,-42.9,-62.2,-54.3,①候選(正選),線下,"計量單位是付費企業數 × 客均收入,支付按交易額、Credit Karma 按點擊,加電子報稅授權與資金牌照,人頭這條管道無入口"
DOCU,DocuSign,大致不適用,高,-37.7,-41.9,-14.0,①候選(正選),線下,"主體按信封件數計價,簽署與存證受 eIDAS/TSP 監管,Navigator 存了約 1.5 億份協議正本"
PCOR,Procore,大致不適用,高,-33.7,-51.0,-31.1,①候選(正選),線下,"10-K 明文 we do not charge a per-seat or per-user fee,按年度施工金額計價,且是多方共用的記錄正本"
BILL,BILL Holdings,大致不適用,高,-31.8,-44.7,-20.0,①候選(貼線),線下,"訂閱費僅佔總收入 17.9%,交易費按筆數與金額收;持州級匯款牌照、830 萬方付款網絡,代理做得越多它收得越多"
QTWO,Q2 Holdings,大致不適用,高,-31.6,-43.5,-21.2,①候選(貼線),線下,"收費基礎是方案數 × 銀行存戶數 × 交易筆數,銀行裁行員不減存戶;FFIEC 檢查、合約初始年期平均逾五年"
