theme,ticker,valid_from,valid_to,role,note,story,position,source_url,evidence_10k,added_by,valid_from_basis,filer_type
semis,NVDA,2022-01-01,,core,2026-07-23 鏈定義注釋(ADR-0029):semis=「AI 晶片」(敘事=AI算力荒;theme key不改名),"AI 算力荒——訂單由雲廠的資本開支決定,實體樽頸是先進封裝(CoWoS)與高頻寬記憶體產能,以年計才補得回。","上游:AI 加速器與資料中心互連矽片的設計商,直接賣給超大規模雲廠",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026:and per memory bandwidth of accelerators used in new and renovated data centers in China.,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
semis,AMD,2022-01-01,,core,,"AI 算力荒——訂單由雲廠的資本開支決定,實體樽頸是先進封裝(CoWoS)與高頻寬記憶體產能,以年計才補得回。","上游:AI 加速器與資料中心互連矽片的設計商,直接賣給超大規模雲廠",https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/amd-20251227.htm,"2025:data centers, we offer AI accelerators, microprocessors (CPUs), graphic processing units (GPUs), data processing units",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
semis,INTC,2022-01-01,2021-11-30,core,"2026-07-23 手術(ADR-0029):INTC整間出隊(修正ADR-0028標折原提案)——同一鏈位要同一敘事;INTC 2022年講嘅係相反故事(被搶市佔/殺價/代工燒錢 vs NVDA缺貨加價)‧AI算力荒敘事同佢無關;valid_to早於任何回測asof=全期剔除;他日若真正加入AI晶片供給可經正式覆核考返入嚟(唔係自動) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]","AI 算力荒——訂單由雲廠的資本開支決定,實體樽頸是先進封裝(CoWoS)與高頻寬記憶體產能,以年計才補得回。","上游:AI 加速器與資料中心互連矽片的設計商,直接賣給超大規模雲廠",https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,"2025:GPUs, IPUs, NPUs and other accelerators designed to optimize performance across a range of workloads.",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
semis,AVGO,2022-01-01,,core,"ADR-0039 讀對瓣:只讀AI半導體瓣。三條分類測試全過;ADR-0029記名例外同時退役(層唔係GPU,係賣俾雲廠嘅AI加速器)","AI 算力荒——訂單由雲廠的資本開支決定,實體樽頸是先進封裝(CoWoS)與高頻寬記憶體產能,以年計才補得回。","上游:AI 加速器與資料中心互連矽片的設計商,直接賣給超大規模雲廠",https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,"2025:AI semiconductor solutions include custom accelerators or XPUs, Ethernet switching and routing silicon, Ethernet NICs,",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
biotech,AMGN,2022-01-01,,core,,"審批稀缺性即定價權——同一則 FDA、專利懸崖或保險核價消息,對這批有在售產品的原廠方向一致。","下游:已商業化的大型生物製藥原廠,專利藥經處方賣給病人與保險",https://www.sec.gov/Archives/edgar/data/318154/000031815426000010/amgn-20251231.htm,"2025:U.S. Foreign Corrupt Practices Act FDA U.S. Food and Drug Administration FDCA Federal Food, Drug,",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
biotech,GILD,2022-01-01,,core,,"審批稀缺性即定價權——同一則 FDA、專利懸崖或保險核價消息,對這批有在售產品的原廠方向一致。","下游:已商業化的大型生物製藥原廠,專利藥經處方賣給病人與保險",https://www.sec.gov/Archives/edgar/data/882095/000088209526000006/gild-20251231.htm,2025:U.S. Food and Drug Administration (“FDA”) for a pre-exposure prophylaxis (“PrEP”) indication to reduce the,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
biotech,VRTX,2022-01-01,,core,,"審批稀缺性即定價權——同一則 FDA、專利懸崖或保險核價消息,對這批有在售產品的原廠方向一致。","下游:已商業化的大型生物製藥原廠,專利藥經處方賣給病人與保險",https://www.sec.gov/Archives/edgar/data/875320/000087532026000056/vrtx-20251231.htm,2025:U.S. Food and Drug Administration (“FDA”) in January 2025 for the treatment of moderate-to-severe acute,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
biotech,REGN,2022-01-01,,core,,"審批稀缺性即定價權——同一則 FDA、專利懸崖或保險核價消息,對這批有在售產品的原廠方向一致。","下游:已商業化的大型生物製藥原廠,專利藥經處方賣給病人與保險",https://www.sec.gov/Archives/edgar/data/872589/000087258926000008/regn-20251231.htm,2025:2025 annual meeting –Approved by FDA and European Commission ('EC') for RVO –Approved by FDA,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
biotech,BIIB,2022-01-01,,core,,"審批稀缺性即定價權——同一則 FDA、專利懸崖或保險核價消息,對這批有在售產品的原廠方向一致。","下游:已商業化的大型生物製藥原廠,專利藥經處方賣給病人與保險",https://www.sec.gov/Archives/edgar/data/875045/000087504526000013/biib-20251231.htm,2025:FCPA Foreign Corrupt Practices Act FDA U.S. Food and Drug Administration Table of Contents DEFINED,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
uranium_power,CCJ,2022-01-01,,core,,"鈾精礦賣給核電廠,售價由礦供給(長期減產、庫存見底)對反應堆需求決定;開一個新礦要七至十年,而買家是剛需——貴極都要買,停爐蝕得更多。","上游:核燃料(鈾礦開採,以及 LEU 的鈾濃縮一節)",https://www.sec.gov/Archives/edgar/data/1009001/000119312526116229/d34605d40f.htm,,v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",40-F
uranium_power,LEU,2022-01-01,,core,2026-07-21 補讀卷加入:濃縮層(low-enriched uranium 上游/Centrus),"鈾精礦賣給核電廠,售價由礦供給(長期減產、庫存見底)對反應堆需求決定;開一個新礦要七至十年,而買家是剛需——貴極都要買,停爐蝕得更多。","上游:核燃料(鈾礦開採,以及 LEU 的鈾濃縮一節)",https://www.sec.gov/Archives/edgar/data/1065059/000162828026007117/leu-20251231.htm,"2022:Regulations HALEU High Assay Low-Enriched Uranium HALEU Demonstration Contract Three-year, $115 million cost-share contract with",v0,"沿用 v0(舊倉 ADR-0039 鎖死名單,未改)",10-K
