theme,ticker,valid_from,valid_to,role,note
semis,NVDA,2022-01-01,,core,2026-07-23 鏈定義注釋(ADR-0029):semis=「AI 晶片」(敘事=AI算力荒;theme key不改名)
semis,AMD,2022-01-01,,core,
semis,INTC,2022-01-01,2021-11-30,core,"2026-07-23 手術(ADR-0029):INTC整間出隊(修正ADR-0028標折原提案)——同一鏈位要同一敘事;INTC 2022年講嘅係相反故事(被搶市佔/殺價/代工燒錢 vs NVDA缺貨加價)‧AI算力荒敘事同佢無關;valid_to早於任何回測asof=全期剔除;他日若真正加入AI晶片供給可經正式覆核考返入嚟(唔係自動) [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
semis,AVGO,2022-01-01,,core,"ADR-0039 讀對瓣:只讀AI半導體瓣。三條分類測試全過;ADR-0029記名例外同時退役(層唔係GPU,係賣俾雲廠嘅AI加速器)"
biotech,AMGN,2022-01-01,,core,
biotech,GILD,2022-01-01,,core,
biotech,VRTX,2022-01-01,,core,
biotech,REGN,2022-01-01,,core,
biotech,BIIB,2022-01-01,,core,
uranium_power,CCJ,2022-01-01,,core,
uranium_power,LEU,2022-01-01,,core,2026-07-21 補讀卷加入:濃縮層(low-enriched uranium 上游/Centrus)
uranium_power,UEC,2022-01-01,2021-11-30,core,"ADR-0039 測試一:走廊大部分時間未生產(2024年先重啟礦場),冇售價可讀;同 NXE 同一把尺 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
uranium_power,NXE,2022-01-01,2021-11-30,core,"ADR-0039 測試一:開發階段冇產品收入,冇售價可讀 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
uranium_power,CEG,2022-02-01,2021-11-30,core,"2026-07-21 出世紙修正:規管電力股同鈾價脫鈎;CEG 歸電力商 [2026-07-27 修正結束日 2021-12-31→2021-11-30:走廊首個決策日係 2021-12-01,舊日期令追溯剔除喺第一季失效]"
