event_id,ticker,step0_credibility,dmg_true,dmg_partial,dmg_false,dmg_timing,q1_price_requires,q1_verdict,q3_date,premise,bear_hits_valuation,batch,q1_verdict_raw,q1,q1_ord,dmg_true_ord,dmg_partial_ord,dmg_false_ord,step0,step0_ord,q1_model_na,premise_verdict,premise_conf,premise_note,premise_dir,premise_damage,T_y,N_y,f_shock_rel_drop,bm_T,rel_T,bm_N,rel_N,v1_grade,v1_ord
E01,T,中,有限,輕微或受益,輕微或受益,估值4-8週;現金流2-8季,-1.5% 永久自由現金流(相對大市),更好,2013-07-23(預期第二季業績),季度派息維持每股0.45元,是,批1,更好,更好,1.0,2.0,1.0,1.0,中,2,False,守住,高,季度派息 0.45 元維持並於 2014 年上調,S,0.0,-0.0998050339751384,-0.14042081578564,-0.0390878241475983,-0.09352888734237741,-0.006276146632760993,-0.12572465656886062,-0.014696159216779386,資料不足,
E01,SPG,中,有限,有限,輕微或受益,估值4-8週;利息成本4-8季,-7.5% 永久價值(約等於資本化率升0.5個百分點),相稱,2013-07-29(預期第二季業績),全年FFO指引不下調,是,批1,相稱,相稱,2.0,2.0,2.0,1.0,中,2,False,守住,中,2013 全年 FFO 上升、指引未下調,S,0.0,-0.0476573217667412,-0.0771740876849153,-0.1054192410928975,-0.09352888734237741,0.04587156557563621,-0.12572465656886062,0.04855056888394532,資料不足,
E01,NLY,中,重大,有限,輕微或受益,帳面值即時;息差1-2季;派息2-4季,-10.1% 永久價值(相對大市;P/B 0.77),相稱,2013-08-07(預期第二季10-Q),季度派息維持每股0.45元,是,批1,相稱,相稱,2.0,3.0,2.0,1.0,中,2,False,被推翻,中,2013-06 宣布季度派息由 0.45 降至 0.40 元,S,1.0,-0.0872527407096164,-0.1841398358574482,-0.1896411400115218,-0.09352888734237741,0.006276146632761007,-0.12572465656886062,-0.05841517928858758,部分適用,2.0
E01,ED,中,有限,輕微或受益,輕微或受益,估值4-8週;融資成本4-8季,-1.7% 永久價值(相對大市),更好,2013-07-25(預期第二季業績),季度股息維持每股0.615元,是,批1,更好,更好,1.0,2.0,1.0,1.0,中,2,False,守住,中,季度股息維持、其後連年上調,S,0.0,-0.1565658626694296,-0.1724096858450502,-0.0390766906473577,-0.09352888734237741,-0.06303697532705219,-0.12572465656886062,-0.04668502927618959,大致不適用,1.0
E02,GILD,中,重大,有限,輕微或受益,估值4-8週;淨價2-6季;立法3年以上,-6.8% 永久自由現金流(相對大市),相稱,2015-11-09(2015Q3 10-Q 法定申報上限),Harvoni與Sovaldi合計季度銷售不跌逾15%且HCV指引不下修,是,批1,相稱,相稱,2.0,3.0,2.0,1.0,中,2,False,被推翻,高,2016 年 HCV 產品收入大跌、指引下修,S,1.0,-0.2979893484899545,-0.286072137386247,-0.1111575332214087,-0.0527654888082889,-0.2452238596816656,-0.0512064092195564,-0.23486572816669057,高度適用,3.0
E02,BIIB,中,重大,有限,輕微或受益,估值4-8週;淨價2-6季;立法3年以上,-9.0% 永久自由現金流(相對大市),現價要求比我們預期更壞,2015-11-09(2015Q3 10-Q 法定申報上限),管理層不為保覆蓋而主動下調MS藥價,是,批1,現價要求比我們預期更壞,更壞,3.0,3.0,2.0,1.0,中,2,False,守住,中,未見為保覆蓋而主動下調 MS 藥價,S,0.0,-0.0086817183000493,-0.0512064092195564,-0.1332985882367432,-0.0527654888082889,0.0440837705082396,-0.0512064092195564,0.0,高度適用,3.0
E02,REGN,中,重大,有限,輕微或受益,估值4-8週;淨價2-6季;立法3年以上,-7.5% 永久自由現金流(相對大市),相稱,2015-11-09(2015Q3 10-Q 法定申報上限),EYLEA美國季度銷售按年不跌逾5%,是,批1,相稱,相稱,2.0,3.0,2.0,1.0,中,2,False,守住,高,EYLEA 美國銷售 2016 年仍按年增長,S,0.0,-0.2762900925096593,-0.2115095079631234,-0.1743945325568694,-0.0527654888082889,-0.2235246037013704,-0.0512064092195564,-0.160303098743567,高度適用,3.0
E02,JNJ,中,資料不足,資料不足,資料不足,估值2-6週;淨價2-6季,-0.6% 永久自由現金流(相對大市),更好,2015-11-06(2015財年第三季 10-Q 法定申報上限),藥品分部佔收入比例查得到(查不到則步三與步六作廢),是,批1,更好,更好,1.0,,,,中,2,False,守住,中,藥品分部佔收入比例在 10-K 有披露、查得到,S,0.0,0.1635578639425152,0.1221357266033533,-0.0115129034459662,-0.0527654888082889,0.2163233527508041,-0.0512064092195564,0.1733421358229097,資料不足,
E03,KR,中,重大,有限,輕微或受益,估值1-2週;毛利2-6季;價格戰永久,-24.9% 永久自由現金流(相對大市),相稱,2017-09-21(FY2017第二季 10-Q 法定申報上限;FY2016 10-K 於 2017-03-28 申報),管理層不宣布全面降價應戰且毛利率按年不跌逾50bp,是,批1,相稱,相稱,2.0,3.0,2.0,1.0,中,2,False,守住,低,毛利率按年跌幅未達 50bp 紅線,S,0.0,0.1512356012246403,0.1512356012246403,-0.0818594809412526,0.0771270946476929,0.0741085065769474,0.0771270946476929,0.0741085065769474,高度適用,3.0
E03,UNFI,中,重大,有限,輕微或受益,估值1-2週;條款重談2-6季;客戶流失1-3年,-15.0% 永久自由現金流(相對大市),相稱,2017-09-27(FY2017 10-K 法定申報上限;FY2016 10-K 於 2016-09-28 申報),全食超市佔淨銷售比例不跌逾3個百分點且管理層不提採購安排有變,是,批1,相稱,相稱,2.0,3.0,2.0,1.0,中,2,False,被推翻,中,2018-02 全食超市宣布不再續約、採購安排確實有變,S,1.0,0.0771270946476929,0.0771270946476929,-0.1315036303801663,0.0771270946476929,0.0,0.0771270946476929,0.0,部分適用,2.0
