ticker,accession,n_quotes,doc_chars,quotes_checked,quotes_found,missing,status
CRDO,0001628280-26-059795,1,81928,1,0,Second Quarter of Fiscal 2027 Financial Outlook -,引句對不上
STRL,0000874238-26-000100,1,1707639,1,1,,全部引句核實
FSLR,0001274494-26-000169,1,156735,1,1,,全部引句核實
COLL,0001628280-26-053849,1,867549,1,1,,全部引句核實
CLS,0001030894-26-000043,2,135361,2,2,,全部引句核實
LULU,0001397187-26-000126,2,117250,2,1,"range of $11.000 billion to $11.150 billion, representing",部分引句核實
CRUS,0000772406-26-000036,1,980659,1,1,,全部引句核實
INOD,0001104659-26-092010,1,120591,1,1,,全部引句核實
FN,0001408710-26-000026,2,267003,2,1,Record Fourth Quarter Revenue Exceeds Guidance Range... exce,部分引句核實
AGX,0001104659-26-104735,1,84387,1,1,,全部引句核實
CRNC,0001628280-26-054286,2,1700136,2,0,Fourth Quarter and Full Year Fiscal 2026 Outlook.; million to $320 million (raising the midpoint to,引句對不上
RMBS,0001193125-26-318063,2,89100,2,2,,全部引句核實
ADTN,0001193125-26-331458,1,3445811,1,1,,全部引句核實
ENPH,0001463101-26-000080,1,131509,1,1,,全部引句核實
ON,0001140361-26-030989,2,130187,2,1,THIRD QUARTER 2026 OUTLOOK - The following table,部分引句核實
ARM,0001973239-26-000113,2,1298731,1,0,... Non-GAAP operating expense $780m ... Non-GAAP fully,引句對不上
QCOM,0000804328-26-000085,1,105528,1,1,,全部引句核實
ORCL,0001193125-26-265848,1,148142,1,1,,全部引句核實
TDC,0001628280-26-052549,2,113459,2,2,,全部引句核實
VIAV,0001628280-26-053381,1,129319,1,1,,全部引句核實
SEDG,0001178913-26-003833,1,147042,1,1,,全部引句核實
VPG,0001437749-26-025779,2,110041,2,2,,全部引句核實
LINC,0001140361-26-031997,1,112519,1,1,,全部引句核實
ARRY,0001628280-26-053342,1,1320295,1,1,,全部引句核實
UTI,0001261654-26-000015,1,2427537,1,1,,全部引句核實
MRAM,0001628280-26-053376,1,86759,1,1,,全部引句核實
CIEN,0001628280-26-060245,2,997839,2,2,,全部引句核實
LASR,0001124796-26-000035,1,103668,1,1,,全部引句核實
AAON,0000824142-26-000052,1,128098,1,1,,全部引句核實
AIP,0001628280-26-054325,1,115694,0,0,,無可核英文引句
CLFD,0001171843-26-005241,1,108776,1,1,,全部引句核實
CEVA,0001437749-26-026648,1,94445,1,1,,全部引句核實
TROX,0001140361-26-031551,1,129329,1,1,,全部引句核實
LMB,0001628280-26-052611,3,1292455,1,1,,全部引句核實
POWL,0000080420-26-000103,3,104549,3,2,confident... in delivering another year of solid financial,部分引句核實
MEC,0001104659-26-090424,2,108779,2,1,"FINANCIAL GUIDANCE. Today, the Company is providing financia",部分引句核實
MYRG,0000700923-26-000041,1,120580,1,1,,全部引句核實
LUMN,0000018926-26-000058,1,710941,1,1,,全部引句核實
DOCN,0001628280-26-052135,2,123740,1,1,,全部引句核實
MTZ,0000015615-26-000095,1,127854,1,1,,全部引句核實
AMKR,0001047127-26-000043,1,96172,1,1,,全部引句核實
MOD,0001104659-26-088230,1,1026148,1,1,,全部引句核實
IPGP,0001111928-26-000150,1,119175,1,1,,全部引句核實
IREN,0001878848-26-000051,0,789991,0,0,,無可核英文引句
GNRC,0001437749-26-024731,1,135331,1,1,,全部引句核實
CDNS,0000813672-26-000089,2,174324,1,1,,全部引句核實
TTMI,0001193125-26-336163,1,95940,1,1,,全部引句核實
CENX,0001628280-26-054300,1,158914,1,1,,全部引句核實
ALB,0000915913-26-000101,1,189894,1,1,,全部引句核實
FLEX,0000866374-26-000026,1,106738,1,1,,全部引句核實
MRCY,0001049521-26-000043,1,864381,1,1,,全部引句核實
SAIA,0001193125-26-324937,1,250214,1,1,,全部引句核實
HLIT,0001193125-26-346853,1,128386,1,1,,全部引句核實
KRMN,0002040127-26-000018,2,507340,1,1,,全部引句核實
PUMP,0001680247-26-000095,1,2599781,1,1,,全部引句核實
SANM,0000897723-26-000036,1,94868,1,1,,全部引句核實
CLVT,0001764046-26-000090,0,1255745,0,0,,無可核英文引句
MTSI,0001493594-26-000036,1,114748,1,1,,全部引句核實
DRS,0001833756-26-000037,1,117795,1,1,,全部引句核實
ACLS,0001104659-26-091697,1,101514,1,1,,全部引句核實
