event_id,事件,類型,k,清單,b 揀到,b 與清單重疊家數,c 揀到,c 與清單重疊家數,d 揀到,d 與清單重疊家數
E21,2016-06 英國脫歐公投殺歐洲銀行,價格,2,BCS、LYG,TRV、ALL,0,TRV、ALL,0,TRV、ALL,0
E22,2021-07 中國監管風暴殺中概股,財務,2,BABA、NIO,CAN、WB,0,YUMC,0,YUMC、ZTO,0
E23,2022-06 加密貨幣崩盤殺加密相關股,價格,2,RIOT、HOOD,HOOD、BTBT,1,MSTR、PYPL,0,PYPL、COIN,0
E24,2022-10 對華晶片出口管制新規殺半導體與設備,財務,2,ASML、NVDA,AEHR、MU,0,PDFS、FORM,0,SWKS、AEIS,0
E25,2023-09 美國汽車工會罷工殺汽車與零件商,財務,2,APTV、MGA,TEN、CPS,0,DAN、SMP,0,GNTX、SMP,0
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,財務,3,JPM、STT、MET,USB、CME、AXP,0,TRV、PFG、ALL,0,TRV、GS、NTRS,0
E18,2024-08 日圓套息平倉殺半導體,價格,2,NVDA、ASML,MRVL、MPWR,0,AMAT、MPWR,0,TXN、ADI,0
E19,2021-11 Omicron 殺旅遊休閒,財務,3,DAL、MAR、BKNG,H、HLT、MAR,1,BYD、WH、BKNG,1,CHH、IHG、WH,0
E20,2022-05 通脹與庫存過剩殺零售,財務,1,WMT,TJX,0,DG,0,WMT,1
E01,2013-05 縮減恐慌殺債券替代品,價格,3,T、SPG、ED,NEE、DLR、DUK,0,T、VZ、PSA,1,ED、SO、NEE,1
E06,2023-10 減肥藥殺食品與醫療器械,財務,3,KO、MDLZ、RMD,EW、CAG、GIS,0,DVA、DPZ、KHC,0,KO、PEP、KHC,1
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,價格,1,MU,SMCI,0,ORCL,0,MSFT,0
E08,2025-04 對等關稅殺零售與電子硬件,財務,1,AAPL,WMT,0,HPQ,0,WMT,0
E12,2019-05 華為實體清單殺半導體,財務,1,SWKS,INTC,0,QCOM,0,INTC,0
E13,2022-01 利率衝擊殺未獲利軟件股,價格,1,MSFT,MSFT,1,MSFT,1,MSFT,1
E14,2023-05 生成式 AI 殺教育科技,財務,1,DUOL,DUOL,1,CHGG,0,CHGG,0
