代號,收費模式,命中語,原句,申報日,accession,取自
PANW,席位,per-user,"In addition to the subscriptions purchased with these firewalls, customers may also purchase other subscriptions on a per-user, per-endpoint, or capacity-based basis.",2025-08-29,000132756725000027,全文(附註內找不到)
CRWD,訂閱(未標明計量),subscription-based model,"Today, we offer 33 cloud modules on our Falcon platform via a SaaS subscription-based model that spans multiple large markets, including corporate endpoint and cloud workload security, managed security services, security and vulnerability management, IT operations management, identity protection, next-generation security information and event management (“SIEM”) and log management, threat intelligence services, data protection, SaaS security posture management, Security Orchestration, Automation and Response (“SOAR”) and AI powered workflow automation, and security for generative AI and AI-dri",2026-03-05,000153552726000010,全文(附註內找不到)
FTNT,資產或存戶,per account,"In addition to FortiCare solution based services, Advanced Support service options are available per account.",2026-02-25,000126203926000007,全文(附註內找不到)
MSFT,席位,per-user,"This segment primarily comprises: • Microsoft 365 Commercial products and cloud services, including Microsoft 365 Commercial cloud, comprising Microsoft 365 Commercial, Enterprise Mobility + Security, the cloud portion of Windows Commercial, the per-user portion of Power BI, Exchange, SharePoint, Microsoft Teams, Microsoft 365 Security and Compliance, and Microsoft 365 Copilot; and Microsoft 365 Commercial products, comprising Windows Commercial on-premises and Office licensed on-premises.",2026-07-29,000119312526323660,全文(附註內找不到)
PLTR,用量或交易,usage-based,"There is no guarantee that our existing or proposed business strategies, including subscription-based or usage-based pricing structures, will achieve broad adoption by current or prospective customers or be appropriately structured to attract and retain other potential customers across the customer base.",2026-02-17,000132165526000011,全文(附註內找不到)
CSCO,授權或永久,term license,Term software licenses are multiple performance obligations where the term license is recognized upfront upon transfer of control with the associated software maintenance revenue recognized ratably over the contract term.,2025-09-03,000085887725000111,收入確認附註
CRM,授權或永久,term license,"Remaining performance obligation is influenced by several factors, including seasonality, the timing of renewals, the timing of term license deliveries, average contract terms and foreign currency exchange rates.",2026-03-02,000110852426000060,收入確認附註
ORCL,用量或交易,usage-based,"• cost-effective by lowering upfront customer investments and implementing usage-based resource consumption costs; and • highly performant and secure, standards-based and reliable.",2026-06-22,000119312526277521,全文(附註內找不到)
AVGO,用量或交易,usage-based,"Additionally, as a practical expedient, we have not included contracts that have an original duration of one year or less, nor have we included contracts with sales-based or usage-based royalties promised in exchange for a license of IP.",2025-12-18,000173016825000121,收入確認附註
NET,席位,per seat,Enterprise subscription plan agreements for our contracted customers generally include a base subscription and a smaller portion based on usage or per seat.,2023-02-24,000147733323000017,全文(附註內找不到)
NOW,用量或交易,consumption-based,"In addition to subscription offerings, certain AI and data solutions include a consumption-based pricing component that governs when customer usage exceeds the fixed number of service credits available under the customer’s subscription agreement.",2026-01-29,000137371526000007,全文(附註內找不到)
OKTA,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2023-03-03,000166013423000013,
DDOG,用量或交易,based on usage,"The Company’s customers can enter into (1) a subscription agreement for a committed contractual amount of usage that is apportioned ratably on a monthly basis over the term of the subscription period, (2) a subscription agreement for a committed contractual amount of usage that is delivered as used, or (3) a monthly subscription based on usage.",2026-02-18,000162828026008819,收入確認附註
ZS,席位,per-user,Our subscription pricing is primarily calculated on a per-user basis.,2022-09-15,000171368322000081,全文(附註內找不到)
ADBE,用量或交易,usage-based,"We applied practical expedients to exclude amounts related to performance obligations that are billed and recognized as they are delivered, optional purchases that do not represent material rights, sales and usage-based royalties not yet consumed and any estimated amounts of variable consideration that are subject to constraint.",2026-01-15,000079634326000003,收入確認附註
RBRK,授權或永久,perpetual license,"2025 Form 10-K 17 Table of Contents Furthermore, we have historically sold our products to customers as perpetual licenses with associated maintenance contracts or as subscription term-based licenses with associated support, and with respect to the latter, we recognized a portion of the revenue upfront at the time we transferred control of the subscription term-based license to the customer and deferred the remainder.",2025-03-20,0001943896-25-000012,全文(附註內找不到)
FFIV,用量或交易,usage-based,"We sell packaged software in perpetual, subscription, and usage-based consumption models.",2025-11-25,000104869525000157,全文(附註內找不到)
INTU,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2025-09-03,000089687825000035,
GEN,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2026-05-21,000084939926000017,
DT,授權或永久,term license,"Because we recognize revenue from our SaaS subscriptions and term licenses over the subscription or license term, downturns or upturns in new sales and renewals may not be immediately reflected in our operating results and may be difficult to discern.",2025-05-22,0001773383-25-000065,全文(附註內找不到)
CDNS,用量或交易,usage-based,"Contractual arrangements with customers for both environments are generally time-based, similar to the on-premises software license arrangements described above, and may include usage-based terms.",2026-02-19,000081367226000016,全文(附註內找不到)
APP,用量或交易,usage-based,"Revenue from Wurl is primarily generated from content companies, typically on a usage-based model.",2023-02-28,000175100823000006,全文(附註內找不到)
SNPS,授權或永久,perpetual license,Our S&A software solutions are offered as subscription solutions and also as perpetual licenses.,2025-12-22,000088324125000028,全文(附註內找不到)
AKAM,用量或交易,usage-based,It excludes estimates of variable consideration such as usage-based contracts with no committed contract as well as anticipated renewed contracts.,2026-02-20,000108622226000022,收入確認附註
ANET,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2026-02-17,000159653226000013,
CHKP,查不到,,"倉內快取與補抓皆無 10-K 全文(多為外國私人發行人交 20-F,或非美國申報人)",,,
NTAP,用量或交易,consumption-based,"Transition to consumption-based business models may adversely affect our revenues and profitability in other areas of our business, potentially harming our business, operating results, financial condition and cash flows.",2026-06-05,000119312526259683,全文(附註內找不到)
FROG,用量或交易,usage-based,"Our self-managed subscriptions are offered on an annual and multi-year basis, while our SaaS subscriptions are offered on a monthly, annual, and multi-year basis and can consist of fixed and usage-based fees.",2025-02-14,0000950170-25-021340,全文(附註內找不到)
LDOS,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2026-02-17,000133692026000030,
ACN,用量或交易,per-transaction,"We have many types of contracts, including time-and-materials contracts, fixed-price contracts, fee-per-transaction contracts and contracts with multiple fee types.",2025-10-10,000146737325000217,全文(附註內找不到)
HO.FP,查不到,,"倉內快取與補抓皆無 10-K 全文(多為外國私人發行人交 20-F,或非美國申報人)",,,
ESTC,用量或交易,consumption-based,"the impact that increased adoption of consumption-based arrangements could have on our revenue or operating results; &#8226; the impact of changes to our licensing of our products, particularly Elasticsearch and Kibana; &#8226; our assessments of the strength of our solutions and products; &#8226; our service performance and security, including the resources and costs required to prevent, detect and remediate potential security breaches or incidents; &#8226; our ability to maintain and expand our user and customer base; &#8226; continued development of the market for our products; &#8226; comp",2025-06-10,0001707753-25-000021,全文(附註內找不到)
GOOGL,用量或交易,based on volume,"Furthermore, certain of our competitors may negotiate more favorable contractual terms based on volume and other commitments that may provide them with competitive advantages and may affect our supply.",2023-02-03,000165204423000016,收入確認附註
INFY,查不到,,"倉內快取與補抓皆無 10-K 全文(多為外國私人發行人交 20-F,或非美國申報人)",,,
MSTR,用量或交易,usage-based,"(iii) Sales and usage-based royalties – Certain product license arrangements include sales or usage-based royalties, covering both product license and product support.",2023-02-16,000156459023002012,全文(附註內找不到)
ADSK,授權或永久,perpetual license,"In recent years, the industry has undergone a transition from developing and selling perpetual licenses and on-premises products to subscriptions and cloud-enabled technologies.",2026-03-03,000076939726000015,全文(附註內找不到)
IBM,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2026-02-24,000005114326000010,
S,用量或交易,usage-based,"We define ARR as the annualized revenue run rate of our subscription, consumption and usage-based agreements at the end of a reporting period, assuming contracts are renewed on their existing terms for customers that are under contracts with us.",2026-03-19,000158370826000020,全文(附註內找不到)
ROP,用量或交易,usage-based,• Reoccurring – consists primarily of transactional and volume-based fees which are highly reoccurring and recognized at a point in time under a usage-based model.,2026-02-24,000088283526000009,收入確認附註
WDAY,訂閱(未標明計量),subscription-based model,"Furthermore, our subscription-based model is largely based on the size of our customers’ employee headcount.",2026-03-06,000132781126000014,全文(附註內找不到)
BAH,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2025-05-23,0001443646-25-000076,
TTWO,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2023-05-26,000162828023019851,
QLYS,查不到,,10-K 收入確認附註與全文內皆找不到收費模式語,2023-02-23,000143774923004384,
