v1_theme,ticker,rule,rule_name,reason,v1_valid_from,v1_valid_to,v1_added_by
copper,HBM,c,單一資產主導,"初級銅礦商,只有一兩個礦——舊倉原話是它的電話會議講的是自己那個礦,不是銅市;D-147 ③ 把代表性測試收回作名冊門檻,所以出隊。",2022-01-01,,v1
copper,ERO,c,單一資產主導,"初級銅礦商,股價跟自己在巴西那兩個礦的產量與許可證消息走,不跟銅價走。",2022-01-01,,v1
copper,TGB,c,單一資產主導,"單一礦(Gibraltar)的初級礦商,股價跟自己那個礦的品位與罷工消息走。",2022-01-01,,v1
copper,BHP,d,主業已轉向(只入其股價主要跟隨的那條),"多元化礦商,鐵礦石佔盈利大頭——它的股價主要跟中國鋼鐵需求走,不跟銅價走。",2022-01-01,2021-11-30,v0
copper,RIO,d,主業已轉向(只入其股價主要跟隨的那條),"多元化礦商,鐵礦石與鋁佔盈利大頭——同一則銅價消息在它身上被其他商品沖淡。",2022-01-01,2021-11-30,v0
biotech,INCY,c,單一資產主導,"Jakafi 一隻藥佔收入約七成,股價主要跟這一隻藥的專利懸崖與適應症擴展消息走。",2022-01-01,,v1
biotech,ALNY,c,單一資產主導,"單一 RNAi 平台,股價主要跟自己的試驗數據與標籤擴展消息走,不跟藥價政策走。",2022-01-01,,v1
uranium_power,CEG,a,位置不同,"核電廠營運商,是鈾的買家不是賣方——位置相反;它的主歸屬是 power_producers,已在該鏈。",2022-02-01,2021-11-30,v0
uranium_power,DUK,a,位置不同,"規管公用事業,盈利來自 rate-base 回報,鈾價對它是成本轉嫁項,不是收入。",2022-01-01,2021-11-30,v0
uranium_power,SO,a,位置不同,"規管公用事業,盈利來自 rate-base 回報,鈾價對它是成本轉嫁項,不是收入。",2022-01-01,2021-11-30,v0
energy,COP,d,主業已轉向(只入其股價主要跟隨的那條),"純 E&P,不持煉廠——它的股價跟原油價走,主歸屬是 upstream_oil,不應同時掛在一體化油企那條。",2022-01-01,2026-07-22,v0
software_cloud,MSFT,d,主業已轉向(只入其股價主要跟隨的那條),"股價自 2023 年起主要由 Azure 與 AI 資本開支指引驅動,主歸屬 hyperscalers。",2022-01-01,,v0
software_cloud,ORCL,d,主業已轉向(只入其股價主要跟隨的那條),"股價自 2024 年起主要由 OCI 的 AI 算力合約與資本開支驅動,主歸屬 hyperscalers。",2022-01-01,,v0
software_cloud,PLTR,c,單一資產主導,"股價主要跟自己的政府合約公布與散戶推動的估值倍數走,不跟企業 IT 支出週期走——這是「跟自己的故事走」最典型的一家。",2022-01-01,,v0
software_cloud,SHOP,a,位置不同,"客戶是網店商戶不是企業 IT 部門,開關是零售 GMV 與消費支出,與企業軟件同儕不是同一條敘事。",2022-01-01,,v0
travel_cruise,ABNB,a,位置不同,"平台商,不持有床位運力——郵輪的運力樽頸敘事對它不成立;主歸屬 travel_platform。",2022-01-01,2021-11-30,v0
travel_cruise,BKNG,a,位置不同,"平台商,不持有床位運力;主歸屬 travel_platform。",2022-01-01,2021-11-30,v0
streaming,SPOT,a,位置不同,"音樂訂閱分發商,不自有內容也不賣廣告曝光為主——串流內容商與廣告平台兩條它都不屬於,美股沒有同位置可比公司。",2022-01-01,,v0
china,BIDU,c,單一資產主導,"收入是搜尋廣告,股價近兩年主要跟自己的自駕與 AI 雲消息走;電商與內容兩條都不屬於,美股沒有同位置可比公司。",2022-01-01,,v0
building_products,POOL,a,位置不同,"泳池用品分銷商,不是建材製造商;需求開關是泳池翻新與換季,不是住宅開工。",2022-01-01,,v1
building_products,LPX,b,定價機制不同,"OSB 是商品,售價由木材期貨週期決定,與品牌建材的提價機制不同。",2022-01-01,,v1
auto_retail,CPRT,b,定價機制不同,"全損車拍賣平台,收入由事故全損率與保險公司決定,不由二手車零售價決定。",2022-01-01,,v1
fintech,HOOD,d,主業已轉向(只入其股價主要跟隨的那條),"同一家公司在 v1 出現兩次(fintech 與 web3_crypto)。2024 年起加密交易佔它的交易收入主體,按「只入其股價主要跟隨的那條」只保留 crypto_exchange 那一行,fintech 這一行出隊。",2022-01-01,,v0
