entity_id,primary_ticker,公司名(申報索引),觸發日當時名稱,觸發日前後12個月有否改名,觸發日至出場日申報份數,期內有否10-K或10-Q,股數比,股數比成因,最大單日升幅,該日成交量是否暴增,該日事件,判定,一句理由
0001463101,ENPH,"Enphase Energy, Inc.","Enphase Energy, Inc.",否,94,"有(94 份,含 10-K/10-Q)",1.0322487805465954,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",42.4%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000910638,DDD,3D SYSTEMS CORP,3D SYSTEMS CORP,否,103,"有(103 份,含 10-K/10-Q)",1.056661085005057,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",104.3%(2021-01-07),"是,53.8 倍於同期中位成交量","同日 8-K 終止 1.5 億美元股權販售協議(剛完成 Cimatron 軟件業務出售套現 6,420 萬美元,毋須再靠增發集資)並預告第四季業績;正值 2021 年初散戶炒作細價高沽空股熱潮(GameStop 熱潮前夕),3D 打印股普遍被爆炒。",乾淨,公司身分、代號時段、申報連續正常;單日最大升幅 104% 有 54 倍成交量佐證屬真事件。
0001372920,EDU,New Oriental Education & Technology Group Inc.,New Oriental Education & Technology Group Inc.,否,23,"有(23 份;外國私人發行人年報用 20-F/40-F 代替 10-K,期內 6-K 申報頻密正常)",1.004073194311886,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",28.3%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001035983,FIX,COMFORT SYSTEMS USA INC,COMFORT SYSTEMS USA INC,否,114,"有(114 份,含 10-K/10-Q)",0.989365332302461,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",22.4%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0000927003,AEIS,ADVANCED ENERGY INDUSTRIES INC,ADVANCED ENERGY INDUSTRIES INC,否,94,"有(94 份,含 10-K/10-Q)",1.0099659852094458,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",19.3%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001314727,SONO,Sonos Inc,Sonos Inc,否,79,"有(79 份,含 10-K/10-Q)",1.132688417024183,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",29.8%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001511737,UI,Ubiquiti Inc.,"Ubiquiti Networks, Inc.",否,79,"有(79 份,含 10-K/10-Q)",0.9897830792242588,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",24.5%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001039399,FORM,FORMFACTOR INC,FORMFACTOR INC,否,97,"有(97 份,含 10-K/10-Q)",1.0050143860388416,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",28.4%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
0001645113,NVCR,NovoCure Ltd,NovoCure Ltd,否,129,"有(129 份,含 10-K/10-Q)",1.031935151126348,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",49.6%(2021-04-13),"是,24.4 倍於同期中位成交量","8-K 披露 LUNAR 三期肺癌臨床試驗獨立監察委員會建議加快分析(樣本數由 534 降至約 276、追蹤期由 18 個月縮至 12 個月),屬正面臨床進展消息。",乾淨,公司身分、代號時段、申報連續正常;單日最大升幅 50% 有 24 倍成交量佐證屬真事件。
0000874238,STRL,"STERLING INFRASTRUCTURE, INC.","STERLING INFRASTRUCTURE, INC.",否,64,"有(64 份,含 10-K/10-Q)",1.0013403875229592,"股數比在 0.9-1.2 常規範圍內,無需特別覆核成因",18.2%,不適用,不適用,乾淨,公司身分、代號時段、申報連續正常。
