rank,ticker,name,odds,denominator_basis,falsify_exit_price,falsify_exit_drop,falsify_exit_source,falsify_exit_note,ret_1y_grade,n3_ret_1y,debt_label,net_debt_to_ocf,ma200_form,not_in_pool_above_ma,in_pool_1,mechanism_label,mechanism_reason,survivor_gap_deep,survivor_gap_why,pred_support,pred_total,pred_note,conclusion,odds_negative,is_new_entrant,has_card,baseline_withheld,price,price_date,mcap_now,rel_spy_screen,n1_implied_g5,consensus_rev_growth,gap_vs_consensus_pp,n2_per_share,n2_upside,n2_per_share_withheld,n2_upside_withheld,odds_withheld,n2_unreliable,stress_drop,stress_floor_applied,discount_grade,ps_now,ps_p50_1y,ps_p50_4y,ps_p25_1y,wacc,de_ratio,net_debt,ocf_ttm,rev_ttm,op_margin,diluted_shares,asof,stale_lag_days,sic_description,grp
1.0,CRDO,Credo Technology Group Holding Ltd,23.857176885793194,公式壓力跌幅(參考欄),66.7,-0.62,第五節:收入停在年化 21 億、毛利率 60%、支出 8.0 億、市銷率 6.0 倍 + 淨現金 7.38 億 ÷ 2.00 億股,"卡內指定用 −62% 這一檔計倉位;完全失效版 20.2(−88%)只作尾部參考,不可混用",過線(≥17%),0.7049265597652408,淨現金,-1.475058708317095,線附近,,True,經營損害被高估,"反推五年增速 16.6%,低於共識 54.7%,差 -38.1 個百分點",否,,1,3,P1 毛利率達指引 = 支持;P2 無內部人買入、P3 客戶集中度持續 = 不支持,買入候選,,False,True,False,167.75,2026-09-08,32606909500.0,-0.2635735694120101,0.1658363342285156,0.5473,-38.14636657714844,2312.297670214405,12.78418879412462,,,,,-0.5358634366221902,True,兩把尺都過,20.49402091078505,35.192794658893405,26.612194540893032,30.63605778128777,0.1,0.0,-738053000.0,500355000.0,1591045000.0,0.3173782011193901,194378000.0,2026-08-01,0.0,Semiconductors & Related Devices,0
2.0,APP,AppLovin Corporation,13.58863939118403,公式壓力跌幅(參考欄),,,,,過線(≥17%),0.8802664861909228,低(≤3 倍),0.1090028268908684,殺,,True,經營損害被高估,"反推五年增速 1.2%,低於共識 26.8%,差 -25.5 個百分點",否,,0,0,未登記預測,觀察(未填卡、無預登記預測),,True,False,False,312.010009765625,2026-09-08,105157045601.31836,-0.4956343979690298,0.0121879577636718,0.2676,-25.54120422363281,2826.1208028256306,8.057788898979714,,,,,-0.5929798169644127,True,"只過一把(重估已完成,不是折讓)",15.398321307581815,29.0977122357369,12.57113252602491,25.664188595517068,0.1,0.0334268805280692,493520000.0,4527589000.0,6829124000.0,0.774398004780701,337031000.0,2026-06-30,0.0,"Services-Computer Programming, Data Processing, Etc.",0
3.0,STRL,"STERLING INFRASTRUCTURE, INC.",7.96173969786572,公式壓力跌幅(參考欄),80.4,-0.84,第五節:壓力收入 24.9 億(= 自身 FY2025 全年收入)、營業利潤率 17.5% → 同業中位 9.0% → 每股盈利 5.36 × 退出市盈率 15 倍,"待裁:卡片最後採用 −78%(三路中間值),但卡內沒有為 −78% 寫出對應每股價。此處先填最保守的市盈率路徑 80.4(−84%);另兩路 107.1(同業市銷率 1.347 倍,−78.8%)/ 125.6(自身四年中位 1.58 倍,−75.1%)",貼線(13–17%),0.1524866191777587,淨現金,-0.1574323487781455,線附近,,True,經營損害被高估,"反推五年增速 11.9%,低於共識 19.9%,差 -8.0 個百分點",否,,1,3,P2 全年收入指引不下調 = 支持;P1 分部利潤率續跌、P3 無內部人買入 = 不支持,"觀察(貼線,不下結論)",,False,True,False,502.2000122070313,2026-09-08,15640014980.163574,-0.4425120979086797,0.1189994812011718,0.19860001,-7.960052879882812,2665.433941520539,4.307514688832221,,,,,-0.5410268172905632,True,都不過,4.548517859361235,5.268316499854909,1.58081325698394,4.780418978910197,0.1,0.0,-94097000.0,597698000.0,3438486000.0,0.1751791340723795,31143000.0,2026-06-30,0.0,Heavy Construction Other Than Bldg Const - Contractors,0
4.0,GOGO,Gogo Inc.,6.4500728926500415,公式壓力跌幅(參考欄),,,,,過線(≥17%),0.5527052513855386,高(>6 倍),10.172350723519678,殺,,True,經營損害被高估,"反推五年增速 0.3%,低於共識 4.0%,差 -3.8 個百分點",是,市值 3.75 億美元 < 5 億;負債比率 高(>6 倍),0,0,未登記預測,觀察(未填卡、無預登記預測),,True,False,False,2.75,2026-09-08,374687500.0,-0.3651007312918357,0.0027351379394531,0.0405,-3.776486206054688,16.33351794020322,4.939461069164807,,,,,-0.7657992632600168,True,兩把尺都過,0.4148095377271177,0.6823790594346484,3.3600741724628618,0.5997084414495939,0.095,2.179434862385321,817562000.0,80371000.0,903276000.0,0.1154375849684924,136250000.0,2026-06-30,0.0,"Communications Services, NEC",0
5.0,TREE,"LendingTree, Inc.",4.847275335671664,公式壓力跌幅(參考欄),,,,,過線(≥17%),0.6668290439967381,中(3–6 倍),3.7791279900554153,殺,,True,經營損害被高估,"反推五年增速 -8.6%,低於共識 7.0%,差 -15.5 個百分點",是,市值 3.91 億美元 < 5 億,0,0,未登記預測,觀察(未填卡、無預登記預測),,True,False,False,27.84000015258789,2026-09-08,391263362.1444702,-0.3072698314525963,-0.0857048034667968,0.0695,-15.520480346679689,114.51300875901433,3.1132546024203123,,,,,-0.6422689834657234,True,兩把尺都過,0.3085261996977297,0.5466514879597849,0.6485902339512061,0.460160458676506,0.095,0.997494367632336,325296000.0,86077000.0,1268169000.0,0.081937028897568,14054000.0,2026-06-30,0.0,Loan Brokers,0
6.0,FSLR,"First Solar, Inc.",3.1069842093424285,公式壓力跌幅(參考欄),49.6,-0.77,第五節:收入 50.5 億 → 40.0 億、營業利潤率 33.6% → 8.0%、每股盈利 2.34 × 退出市盈率 15 倍 + 淨現金 15.70 億 ÷ 1.0824 億股,"卡內指定用市盈率路徑這一檔;交叉核對 51.5(同業市銷率 1.0 倍)、38.7(完全複製 2022 年)。跌幅區間 −76% 至 −82%,卡內取 −77%",貼線(13–17%),0.1542993551956095,淨現金,-0.7111023902199844,殺,,True,經營損害被高估,"反推五年增速 2.3%,低於共識 17.3%,差 -15.0 個百分點",否,,1,3,P1 指引不下調 = 支持;P2 毛利率轉差、P3 收入按年下降 = 不支持,"觀察(貼線,不下結論)",,False,True,False,213.25,2026-09-08,22973849000.0,-0.3432218239166215,0.0225486755371093,0.173,-15.04513244628906,461.0167982362358,1.1618607185755487,,,,,-0.3739512788902935,True,都不過,4.271763797837552,4.9555486683787935,5.180734374897618,4.199779853282996,0.1,0.0,-1532954000.0,2155743000.0,5378071000.0,0.3364964873092973,107732000.0,2026-06-30,0.0,Semiconductors & Related Devices,0
7.0,AAON,"AAON, INC.",2.6678087041805703,公式壓力跌幅(參考欄),,,,,過線(≥17%),0.6592651021720575,中(3–6 倍),5.223717963532158,殺,,True,倍數重估,"無理由(機械批次寫不出重估理由,須人手補)",否,,0,0,未登記預測,觀察(未填卡、無預登記預測),,False,False,False,79.4000015258789,2026-09-08,6647463328.348412,-0.4442159379341224,0.2808189392089844,0.1659,11.491893920898438,184.60473445073188,1.3249966108698814,,,,,-0.4966610270045056,True,兩把尺都過,3.4400625390251496,5.736515598895302,5.69899692488243,5.072354984464855,0.1,0.0654384956356092,452071000.0,86542000.0,1932367000.0,0.1104852235626048,83721199.0,2026-06-30,0.0,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,0
8.0,COLL,"Collegium Pharmaceutical, Inc.",2.1617656905452414,公式壓力跌幅(參考欄),8.62,-0.63,"第五節:五條產品線逐條砍收入至約 670M、EBITDA 率 54%→45% 得 300M × EV/EBITDA 4.0 倍 − 屆時淨負債 920M ÷ 3,250 萬股","待裁:卡片倉位一節最後採用 −70%(3.5/4.0/4.5 倍的中間偏保守),但卡內沒有為 −70% 寫出對應每股價。此處先填主口徑 8.62(−63.0%)。敏感度 4.00(3.5 倍)/ 13.23(4.5 倍)",過線(≥17%),0.5299394721538713,低(≤3 倍),2.9311716102593945,殺,,True,倍數重估,"無理由(機械批次寫不出重估理由,須人手補)",否,,2,3,P2 指引不再下調、P3 新藥合計收入達標 = 支持;P1 舊藥收入跌 = 不支持,買入候選,,False,True,False,23.3700008392334,2026-09-08,758608525.9521732,-0.2775715144462946,0.0242042541503906,-0.0104,3.4604254150390625,50.20139522719977,1.1481126839722662,,,,,-0.5310995030560822,True,兩把尺都過,0.9386303104549488,1.521096361792538,1.797884576745569,1.4030616596417704,0.095,1.4388936620899746,967058000.0,329922000.0,808208000.0,0.1947988636588601,32460783.0,2026-06-30,0.0,Pharmaceutical Preparations,0
9.0,CENX,Century Aluminum Company,1.6117218352410574,公式壓力跌幅(參考欄),,,,,不過(<13%),-0.0061315345556002,低(≤3 倍),0.8585680751173709,線附近,,True,經營損害被高估,"反推五年增速 -3.1%,低於共識 22.7%,差 -25.8 個百分點",否,,0,0,未登記預測,不入(一年回報不過線),,False,False,False,47.95000076293945,2026-09-08,5025160079.956055,-0.2860074780927114,-0.0312843322753906,0.22670001,-25.79843422753906,78.59536513273636,0.6391108213179155,,,,,-0.3965391591423881,True,都不過,1.8840582183398524,1.8927023875620383,0.7934686271467394,1.3496447236914384,0.1,0.0955193451278466,292600000.0,340800000.0,2667200000.0,0.2528869226154769,104800000.0,2026-06-30,0.0,Primary Production of  Aluminum,0
10.0,FICO,FAIR ISAAC CORP,1.059641536887754,公式壓力跌幅(參考欄),,,,,過線(≥17%),0.5803903905987668,中(3–6 倍),5.285286091843734,殺,,True,倍數重估,"無理由(機械批次寫不出重估理由,須人手補)",否,,0,0,未登記預測,觀察(未填卡、無預登記預測),,True,False,False,933.2999877929688,2026-09-08,21188709622.86377,-0.2923389438768293,0.1459159851074218,0.13939999,0.6515995107421874,1436.9397141895188,0.5396332722424411,,,,,-0.5092602106061113,True,兩把尺都過,8.852327427744596,14.105209879760856,13.480429416823656,11.741983113524626,0.095,0.263460545703845,5293473000.0,1001549000.0,2393575000.0,0.5165068986766657,22703000.0,2026-06-30,0.0,"Services-Business Services, NEC",0
