event,ticker,price,shares_m,r0,net_cash_m,ev_m,exit_mult,treasury,wacc,de,debt_missing,r_part2,g_part,v_full_lo,v_full_hi,v_part_lo,v_part_hi,v_mid_full,v_mid_part,v_1x_full_identity,px_vs_lo,px_vs_midfull,verdict,ret_full,ret_part,ret_third,impl_2y_zero_growth,impl_2y_cagr_mult06,g_src
E07,NVDA,142.62,24453.5,109286.0,645.0,3486910.0,31.91,0.0463,0.095,0.0,1,144530.7,0.15,85.58,142.62,113.17,188.61,114.1,150.89,142.62,0.6665,0.2499,相稱,-0.3999,-0.08,-0.04,1,0.291,"判斷:衝擊前 10-K 明文「約四成資料中心收入來自推理」,推理需求不隨訓練成本崩塌;0% 是全真那一端,+15% 是部分真一端"
E07,MU,103.19,1109.9,29094.0,-4613.0,119143.0,4.1,0.0463,0.095,0.099,0,35203.7,0.1,60.25,103.19,73.78,125.73,81.72,99.75,103.19,0.7127,0.2627,現價高於衝擊後價值,-0.4161,-0.1248,-0.0624,1,0.291,"判斷:DRAM/NAND 是消耗品,HBM 是新產品週期;10-K 明列 ASP 歷史上曾跌穿製造成本。0% 對 +10%"
E07,VRT,146.32,374.6,7408.0,-2022.0,56839.0,7.67,0.0463,0.095,0.053,0,8640.7,0.08,85.63,146.32,100.78,171.57,115.98,136.17,146.32,0.7087,0.2616,現價高於衝擊後價值,-0.4148,-0.141,-0.0705,1,0.291,"判斷:10-K 風險因素自陳「重大積壓訂單」與「長約固定價」;訂單來自已批出的開支計劃,滯後一至兩季"
E07,ANET,129.17,314.9,6582.0,3175.0,37506.0,5.7,0.0463,0.095,0.0,1,7964.2,0.1,81.53,129.17,96.54,154.18,105.35,125.36,129.17,0.5842,0.2261,現價高於衝擊後價值,-0.3688,-0.1106,-0.0553,1,0.291,判斷:10-K 披露兩家雲端終端客(Meta、Microsoft)各佔收入逾一成;RPO 23 億美元含 3.677 億「未來產品交付」約束性協議
E07,ORCL,183.6,2749.7,53587.0,10941.0,493903.0,9.22,0.0463,0.095,0.0,1,61351.8,0.07,111.75,183.6,127.37,209.63,147.68,168.5,183.6,0.6429,0.2433,現價高於衝擊後價值,-0.3913,-0.1409,-0.0704,1,0.291,"判斷:雲與授權佔收入 84%,其中基建(OCI)是算力的買方——算力變平對它是成本下降;支持收入為經常性。全真 +4%、部分真 +7%"
E06,MDLZ,67.6,1254.9,32710.0,1553.0,83278.0,2.55,0.0481,0.1,0.0,1,34702.0,0.03,41.06,67.6,43.48,71.64,54.33,57.56,67.6,0.6466,0.2443,現價高於衝擊後價值,-0.3927,-0.1728,-0.0864,1,0.291,判斷:核心是朱古力與餅乾(10-K Item 1);10-K 明寫「2022 年無單一客戶佔收入一成以上」。全真 0%、部分真 +3%
E06,KO,54.88,3990.4,45340.0,-24233.0,243224.0,5.36,0.0481,0.095,0.168,0,49039.7,0.04,30.5,54.88,33.48,59.85,42.69,46.67,54.88,0.7994,0.2856,現價高於衝擊後價值,-0.4443,-0.1866,-0.0933,1,0.291,"判斷:濃縮液＋裝瓶商模式,價格／產品組合是收入槓桿(10-K MD&A 明列四項分析因子);無糖與水類產品線可對沖氣水"
E06,RMD,144.59,142.8,4223.0,-1203.0,21850.0,5.17,0.0481,0.1,0.069,0,4745.0,0.06,83.38,144.59,94.73,163.5,113.99,129.12,144.59,0.734,0.2685,現價高於衝擊後價值,-0.4233,-0.1609,-0.0804,1,0.291,"判斷:10-K 引 Lancet「全球逾 9.36 億人患輕至重度睡眠窒息,美國 5,400 萬人」,而診斷率不足兩成——已診斷池的增長遠大於減肥藥可能削去的病人"
E06,DXCM,90.94,387.9,3079.0,1195.0,34078.0,11.07,0.0481,0.1,0.0,1,3862.3,0.12,55.8,90.94,69.21,113.29,73.37,91.25,90.94,0.6299,0.2395,相稱,-0.3864,-0.1005,-0.0502,1,0.291,判斷:感測器是耗材、收入重複發生;10-K 引 CDC 指兒童青少年肥胖率 19.7%、成人第 2 型糖尿病人數上升。全真 0%、部分真 +12%
E06,DVA,93.72,91.3,11749.0,327.0,8230.0,0.7,0.0481,0.1,0.0,1,12223.7,0.02,57.66,93.72,59.85,97.36,75.69,78.61,93.72,0.6253,0.2382,現價高於衝擊後價值,-0.3847,-0.177,-0.0885,1,0.291,"判斷:10-K 披露 90% 洗腎病人由政府計劃覆蓋(其中 75% Medicare/MA)、病人增長率本已偏低——敘事若真,是把它已有的低增長再壓一級"
